r_azon,szakmacsoport_kod,szakmacsoport_nev,is_terapia
015022701,01,Belgyógyászat,1
015022801,01,Belgyógyászat,1
015022901,01,Belgyógyászat,1
015023001,01,Belgyógyászat,1
015023101,01,Belgyógyászat,1
015025620,01,Belgyógyászat,1
015080100,01,Belgyógyászat,1
015080110,01,Belgyógyászat,1
015120101,01,Belgyógyászat,1
015120113,01,Belgyógyászat,1
015120114,01,Belgyógyászat,1
015210191,01,Belgyógyászat,1
015220101,01,Belgyógyászat,1
015220102,01,Belgyógyászat,1
015220104,01,Belgyógyászat,1
015220106,01,Belgyógyászat,1
015220107,01,Belgyógyászat,1
015220111,01,Belgyógyászat,1
015220112,01,Belgyógyászat,1
015220113,01,Belgyógyászat,1
015220114,01,Belgyógyászat,1
015220115,01,Belgyógyászat,1
015220116,01,Belgyógyászat,1
015220129,01,Belgyógyászat,1
015220191,01,Belgyógyászat,1
015223001,01,Belgyógyászat,1
015223002,01,Belgyógyászat,1
015223101,01,Belgyógyászat,1
015310122,01,Belgyógyászat,1
015310123,01,Belgyógyászat,1
015310124,01,Belgyógyászat,1
015311721,01,Belgyógyászat,1
015320101,01,Belgyógyászat,1
015320121,01,Belgyógyászat,1
015320122,01,Belgyógyászat,1
015320123,01,Belgyógyászat,1
015320124,01,Belgyógyászat,1
015320141,01,Belgyógyászat,1
015321721,01,Belgyógyászat,1
015322863,01,Belgyógyászat,1
015322924,01,Belgyógyászat,1
015323045,01,Belgyógyászat,1
015323122,01,Belgyógyászat,1
015325145,01,Belgyógyászat,1
015325621,01,Belgyógyászat,1
015325660,01,Belgyógyászat,1
015340148,01,Belgyógyászat,1
0153D5660,01,Belgyógyászat,1
015410101,01,Belgyógyászat,1
015410102,01,Belgyógyászat,1
015410103,01,Belgyógyászat,1
015420102,01,Belgyógyászat,1
015420112,01,Belgyógyászat,1
015420113,01,Belgyógyászat,1
015420121,01,Belgyógyászat,1
015420123,01,Belgyógyászat,1
015420131,01,Belgyógyászat,1
015422810,01,Belgyógyászat,1
015422811,01,Belgyógyászat,1
015423001,01,Belgyógyászat,1
015423101,01,Belgyógyászat,1
015425610,01,Belgyógyászat,1
015425650,01,Belgyógyászat,1
015427401,01,Belgyógyászat,1
015510105,01,Belgyógyászat,1
015520101,01,Belgyógyászat,1
015520105,01,Belgyógyászat,1
015520110,01,Belgyógyászat,1
015520111,01,Belgyógyászat,1
015520120,01,Belgyógyászat,1
015520191,01,Belgyógyászat,1
015522701,01,Belgyógyászat,1
015522801,01,Belgyógyászat,1
015522802,01,Belgyógyászat,1
015522803,01,Belgyógyászat,1
015522901,01,Belgyógyászat,1
015522902,01,Belgyógyászat,1
015522903,01,Belgyógyászat,1
015523001,01,Belgyógyászat,1
015523010,01,Belgyógyászat,1
015523011,01,Belgyógyászat,1
015523101,01,Belgyógyászat,1
015525621,01,Belgyógyászat,1
015526199,01,Belgyógyászat,1
0155G2802,01,Belgyógyászat,1
015610109,01,Belgyógyászat,1
015610110,01,Belgyógyászat,1
015620191,01,Belgyógyászat,1
015623091,01,Belgyógyászat,1
015623191,01,Belgyógyászat,1
015810101,01,Belgyógyászat,1
015820195,01,Belgyógyászat,1
015825620,01,Belgyógyászat,1
016110101,01,Belgyógyászat,1
016120101,01,Belgyógyászat,1
016120102,01,Belgyógyászat,1
016125620,01,Belgyógyászat,1
0161L3111,01,Belgyógyászat,1
0161L3120,01,Belgyógyászat,1
0161L3130,01,Belgyógyászat,1
0161L3140,01,Belgyógyászat,1
